Environment:
	Python: 3.7.9
	PyTorch: 1.7.0
	Torchvision: 0.8.1
	CUDA: 10.2
	CUDNN: 7605
	NumPy: 1.19.2
	PIL: 8.0.1
Args:
	algorithm: AIL
	checkpoint_freq: None
	data_dir: ./datasets
	dataset: PSST
	holdout_fraction: 0.2
	hparams: None
	hparams_seed: 5
	output_dir: ./outputs_psst_25_2/61c6da481f6ce3efeb1ad4ea1bd92fa0
	seed: 1453902377
	skip_model_save: False
	steps: None
	test_envs: [2]
	trial_seed: 0
HParams:
	batch_size: 145
	class_balanced: False
	data_augmentation: False
	irm_lambda: 94426.4623026721
	irm_penalty_anneal_iters: 132
	lr: 6.0878160019163626e-05
	resnet18: True
	resnet_dropout: 0.0
	vae_lr: 8.861118833909944e-06
	weight_decay: 4.7001370160316345e-05
loading train data from 2 environments
loading test data from 3 environments
187.49655172413793
VAE pretrained!
env0_in_acc   env0_out_acc  env1_in_acc   env1_out_acc  env2_in_acc   env2_out_acc  epoch         loss          nll           penalty       step          step_time    
0.5420189692  0.5411764706  0.5530584471  0.5494408476  0.5250000000  0.4915254237  0.0000000000  0.0097900350  0.0097900275  0.0000000068  0             0.1091215611 
0.6096242923  0.6085294118  0.6441313863  0.6349323131  0.4541666667  0.3559322034  0.5333431419  0.0094578113  0.0094569090  0.0000009023  100           0.0862631559 
0.5251084479  0.5285294118  0.5321293265  0.5217775162  0.5291666667  0.4915254237  1.0666862839  0.1546356640  0.0091098634  0.0000031553  200           0.0859723186 
0.5249613999  0.5282352941  0.5318718505  0.5217775162  0.5291666667  0.4915254237  1.6000294258  0.0984229988  0.0092532622  0.0000009443  300           0.0842219687 
0.5249246379  0.5282352941  0.5317247214  0.5216303708  0.5291666667  0.4915254237  2.1333725678  0.0818460073  0.0093727378  0.0000007675  400           0.0878441811 
0.5249246379  0.5282352941  0.5317247214  0.5216303708  0.5291666667  0.4915254237  2.6667157097  0.0551352174  0.0094943080  0.0000004833  500           0.0863676071 
0.5257334020  0.5285294118  0.5332695774  0.5236904061  0.5291666667  0.4915254237  3.2000588517  0.0159804999  0.0094692636  0.0000000690  600           0.0861405706 
0.5040070583  0.5069117647  0.5078162357  0.5032371984  0.4958333333  0.4745762712  3.7334019936  0.0098356352  0.0096112247  0.0000000024  700           0.0883969998 
0.4812513786  0.4938235294  0.4794203112  0.4780753384  0.5041666667  0.4576271186  4.2667451355  0.0097370566  0.0096196942  0.0000000012  800           0.0897680640 
0.4962502757  0.5038235294  0.4991723986  0.4972042378  0.4750000000  0.4576271186  4.8000882775  0.0096829218  0.0095770259  0.0000000011  900           0.0891522479 
0.5098154547  0.5150000000  0.5156140803  0.5100058858  0.4708333333  0.4745762712  5.3334314194  0.0098154196  0.0097178646  0.0000000010  1000          0.0896204519 
0.5078303066  0.5147058824  0.5140324420  0.5083872866  0.4708333333  0.4576271186  5.8667745614  0.0097241410  0.0096245927  0.0000000011  1100          0.1070655346 
0.5129402250  0.5147058824  0.5176738883  0.5092701589  0.4916666667  0.4406779661  6.4001177033  0.0097385420  0.0096548534  0.0000000009  1200          0.1066371274 
0.4945592236  0.5045588235  0.4957884283  0.4952913479  0.4833333333  0.4745762712  6.9334608453  0.0097427679  0.0096580299  0.0000000009  1300          0.1077676058 
0.5090434527  0.5158823529  0.5152830397  0.5111830489  0.4750000000  0.4745762712  7.4668039872  0.0097207096  0.0096303525  0.0000000010  1400          0.1019977784 
0.5087861187  0.5186764706  0.5128921911  0.5122130665  0.4708333333  0.4576271186  8.0001471291  0.0097363339  0.0096619790  0.0000000008  1500          0.1062111449 
0.5060289685  0.5123529412  0.5064552911  0.5086815774  0.4875000000  0.4745762712  8.5334902711  0.0096963472  0.0096306645  0.0000000007  1600          0.1049418211 
